
kanji,kana,romaji,meaning,type,jlpt,category
歩く,あるく,aruku,"เดิน",verb,N5,travel
行く,いく,iku,"ไป",verb,N5,travel
入口,いりぐち,iriguchi,"ทางเข้า",noun,N5,travel
入る,はいる,hairu,"เข้า",verb,N5,travel
出かける,でかける,dekakeru,"ออกไป",verb,N5,travel
出口,でぐち,deguchi,"ทางออก",noun,N5,travel
北,きた,kita,"เหนือ",noun,N5,travel
南,みなみ,minami,"ใต้",noun,N5,travel
東,ひがし,higashi,"ตะวันออก",noun,N5,travel
西,にし,nishi,"ตะวันตก",noun,N5,travel
曲る,まがる,magaru,"เลี้ยว",verb,N5,travel
着く,つく,tsuku,"มาถึง",verb,N5,travel
地図,ちず,chizu,"แผนที่",noun,N5,travel
電車,でんしゃ,densha,"รถไฟฟ้า",noun,N5,travel
天気,てんき,tenki,"อากาศ",noun,N5,nature
空,そら,sora,"ท้องฟ้า",noun,N5,nature
山,やま,yama,"ภูเขา",noun,N5,nature
秋,あき,aki,"ฤดูใบไม้ร่วง",noun,N5,nature
夏,なつ,natsu,"ฤดูร้อน",noun,N5,nature
春,はる,haru,"ฤดูใบไม้ผลิ",noun,N5,nature
冬,ふゆ,fuyu,"ฤดูหนาว",noun,N5,nature
川,かわ,kawa,"แม่น้ำ",noun,N5,nature
海,うみ,umi,"ทะเล",noun,N5,nature
曇り,くもり,kumori,"มีเมฆ",noun,N5,nature
曇る,くもる,kumoru,"ครึ้ม",verb,N5,nature
晴れ,はれ,hare,"อากาศแจ่มใส",noun,N5,nature
晴れる,はれる,hareru,"แดดออก",verb,N5,nature
雨,あめ,ame,"ฝน",noun,N5,nature
雪,ゆき,yuki,"หิมะ",noun,N5,nature
風,かぜ,kaze,"ลม",noun,N5,nature
降る,ふる,furu,"ตก",verb,N5,nature
吹く,ふく,fuku,"พัด",verb,N5,nature
温い,ぬるい,nurui,"อุ่น",い-adjective,N5,nature
暑い,あつい,atsui,"ร้อน",い-adjective,N5,nature
暖かい,あたたかい,atatakai,"อบอุ่น",い-adjective,N5,others
寒い,さむい,samui,"หนาว",い-adjective,N5,nature
甘い,あまい,amai,"หวาน",い-adjective,N5,food
辛い,からい,karai,"เผ็ด",い-adjective,N5,food
お茶,おちゃ,ocha,"ชาเขียว",noun,N5,food
紅茶,こうちゃ,koucha,"ชาดำ",noun,N5,food
コーヒー,コーヒー,koohii,"กาแฟ",noun,N5,food
パン,パン,pan,"ขนมปัง",noun,N5,food
果物,くだもの,kudamono,"ผลไม้",noun,N5,food
牛乳,ぎゅうにゅう,gyuunyuu,"นม",noun,N5,food
水,みず,mizu,"น้ำ",noun,N5,food
卵,たまご,tamago,"ไข่",noun,N5,food
肉,にく,niku,"เนื้อ",noun,N5,food
魚,さかな,sakana,"ปลา",noun,N5,food
豚肉,ぶたにく,butaniku,"เนื้อหมู",noun,N5,food
とり肉,とりにく,toriniku,"เนื้อไก่",noun,N5,food
牛肉,ぎゅうにく,gyuuniku,"เนื้อวัว",noun,N5,food
野菜,やさい,yasai,"ผัก",noun,N5,food
砂糖,さとう,satou,"น้ำตาล",noun,N5,food
塩,しお,shio,"เกลือ",noun,N5,food
料理,りょうり,ryouri,"อาหาร",noun,N5,food
食堂,しょくどう,shokudou,"โรงอาหาร",noun,N5,food
朝御飯,あさごはん,asagohan,"อาหารเช้า",noun,N5,food
昼御飯,ひるごはん,hirugohan,"อาหารกลางวัน",noun,N5,food
晩御飯,ばんごはん,bangohan,"อาหารเย็น",noun,N5,food
お弁当,おべんとう,obentou,"ข้าวกล่อง",noun,N5,food
飲み物,のみもの,nomimono,"เครื่องดื่ม",noun,N5,food
飲む,のむ,nomu,"ดื่ม",verb,N5,food
食べる,たべる,taberu,"กิน",verb,N5,food
おいしい,おいしい,oishii,"อร่อย",い-adjective,N5,food
まずい,まずい,mazui,"ไม่อร่อย",い-adjective,N5,food
お皿,おさら,osara,"จาน",noun,N5,food
茶碗,ちゃわん,chawan,"ชามข้าว",noun,N5,food
箸,はし,hashi,"ตะเกียบ",noun,N5,food
フォーク,フォーク,fooku,"ส้อม",noun,N5,food
スプーン,スプーン,supuun,"ช้อน",noun,N5,food
ナイフ,ナイフ,naifu,"มีด",noun,N5,food
台所,だいどころ,daidokoro,"ห้องครัว",noun,N5,food
働く,はたらく,hataraku,"ทำงาน",verb,N5,daily activities
勉強,べんきょうする,benkyou suru,"เรียน",verb,N5,daily activities
勉強,べんきょう,benkyou,"การบ้าน",noun,N5,daily activities
休む,やすむ,yasumu,"พักผ่อน",verb,N5,daily activities
休み,やすみ,yasumi,"การพักผ่อน",noun,N5,daily activities
遊ぶ,あそぶ,asobu,"ไปเล่น/เยี่ยม",verb,N5,daily activities
走る,はしる,hashiru,"วิ่ง",verb,N5,daily activities
起きる,おきる,okiru,"ตื่น",verb,N5,daily activities
寝る,ねる,neru,"เข้านอน",verb,N5,daily activities
見る 観る,みる,miru,"ดู",verb,N5,daily activities
聞く,きく,kiku,"ฟัง/ถาม",verb,N5,daily activities
話す,はなす,hanasu,"พูด",verb,N5,daily activities
言う,いう,iu,"พูด",verb,N5,daily activities
読む,よむ,yomu,"อ่าน",verb,N5,daily activities
書く,かく,kaku,"เขียน",verb,N5,daily activities
描く,えがく,egaku,"วาด",verb,N5,daily activities
教える,おしえる,oshieru,"สอน",verb,N5,daily activities
習う,ならう,narau,"เรียนรู้",verb,N5,daily activities
考える,かんがえる,kangaeru,"คิด",verb,N5,daily activities
知る,しる,shiru,"รู้",verb,N5,daily activities
分かる,わかる,wakaru,"เข้าใจ",verb,N5,daily activities
覚える,おぼえる,oboeru,"จำ",verb,N5,daily activities
忘れる,わすれる,wasureru,"ลืม",verb,N5,daily activities
歩く,あるく,aruku,"เดิน",verb,N5,daily activities
走る,はしる,hashiru,"วิ่ง",verb,N5,daily activities
遊ぶ,あそぶ,asobu,"เล่น",verb,N5,daily activities
働く,はたらく,hataraku,"ทำงาน",verb,N5,daily activities
休む,やすむ,yasumu,"พักผ่อน",verb,N5,daily activities
入れる,いれる,ireru,"ใส่",verb,N5,daily activities
使う,つかう,tsukau,"ใช้",verb,N5,daily activities
作る,つくる,tsukuru,"ทำ",verb,N5,daily activities
つまらない,つまらない,tsumaranai,"น่าเบื่อ",い-adjective,N5,daily activities
上げる,あげる,ageru,"ให้",verb,N5,daily activities
もらう,もらう,morau,"ได้รับ",verb,N5,daily activities
買う,かう,kau,"ซื้อ",verb,N5,daily activities
売る,うる,uru,"ขาย",verb,N5,daily activities
開ける,あける,akeru,"เปิด",verb,N5,tools
閉める,しめる,shimeru,"ปิด",verb,N5,tools
開く,あく,aku,"เปิด",verb,N5,tools
閉まる,しまる,shimaru,"ปิด",verb,N5,tools
もつ,もつ,motsu,"ถือ",verb,N5,daily activities
